Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Shape of You","Ed Sheeran","÷ (Deluxe)","epic shit","Playlist","GBAHS1600463","7qiZfU4dY1lWllzX7mPBI3"
"Blinding Lights","The Weeknd","After Hours","epic shit","Playlist","USUG11904206","0VjIjW4GlUZAMYd2vXMi3b"
"Bad Habits","Ed Sheeran","=","epic shit","Playlist","GBAHS2100318","3rmo8F54jFF8OgYsqTxm5d"
"There's Nothing Holdin' Me Back","Shawn Mendes","Illuminate (Deluxe)","epic shit","Playlist","USUM71702833","7JJmb5XwzOO8jgpou264Ml"
"Treat You Better","Shawn Mendes","Illuminate","epic shit","Playlist","USUM71604711","3QGsuHI8jO1Rx4JWLUh9jd"
"Cheap Thrills","Sia","This Is Acting","epic shit","Playlist","USRC11502935","27SdWb2rFzO6GWiYDBTD9j"
"Havana (feat. Young Thug)","Camila Cabello","Camila","epic shit","Playlist","USSM11706905","1rfofaqEpACxVEHIZBJe6W"
"Believer","Imagine Dragons","Evolve","epic shit","Playlist","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"Thunder","Imagine Dragons","Evolve","epic shit","Playlist","USUM71704167","1zB4vmk8tFRmM9UULNzbLB"
"Something Just Like This","The Chainsmokers","Memories...Do Not Open","epic shit","Playlist","USQX91700278","6RUKPb4LETWmmr3iAEQktW"
"Closer","The Chainsmokers","Closer","epic shit","Playlist","USQX91601347","7BKLCZ1jbUBVqRi2FVlTVw"
"Sorry","Justin Bieber","Purpose (Deluxe)","epic shit","Playlist","USUM71516760","09CtPGIpYB4BrO8qb1RGsF"
"Attention","Charlie Puth","Voicenotes","epic shit","Playlist","USAT21700928","5cF0dROlMOK5uNZtivgu50"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","Uptown Special","epic shit","Playlist","GBARL1401524","32OlwWuMpZ6b0aN2RZOeMS"
"See You Again (feat. Charlie Puth)","Wiz Khalifa","See You Again (feat. Charlie Puth)","epic shit","Playlist","USAT21703595","2JzZzZUQj3Qff7wapcbKjc"
"Wolves","Selena Gomez","Wolves","epic shit","Playlist","USUM71712103","0tBbt8CrmxbjRP0pueQkyU"
"Memories","Maroon 5","JORDI (Deluxe)","epic shit","Playlist","USUM71913350","4cktbXiXOapiLBMprHFErI"
"Watermelon Sugar","Harry Styles","Fine Line","epic shit","Playlist","USSM11912587","6UelLqGlWMcVH1E5c4H7lY"
"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","Nine Track Mind (Special Edition)","epic shit","Playlist","USAT21502909","54PbBpquVfhfrwRwvjSXbI"
"Kings & Queens","Ava Max","Heaven & Hell","epic shit","Playlist","USAT21906943","7a53HqqArd4b9NF4XAmlbI"
"Counting Stars","OneRepublic","Native","epic shit","Playlist","USUM71301306","2tpWsVSb9UEmDRxAl1zhX1"
"Hymn for the Weekend","Coldplay","A Head Full of Dreams","epic shit","Playlist","GBAYE1500979","3RiPr603aXAoi4GHyXx0uy"
"Stitches","Shawn Mendes","Handwritten","epic shit","Playlist","USUM71500658","5jsw9uXEGuKyJzs0boZ1bT"
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","The Papercut Chronicles II","epic shit","Playlist","USAT21101071","0qOnSQQF0yzuPWsXrQ9paz"
"The Nights","Avicii","The Days / Nights","epic shit","Playlist","CH3131340464","0ct6r3EGTcMLPtrXHDvVjc"
"Happier","Marshmello","Happier","epic shit","Playlist","USUG11801651","7BqHUALzNBTanL6OvsqmC1"
"Cheap Thrills (feat. Sean Paul)","Sia","This Is Acting","epic shit","Playlist","USRC11600201","378iszndTZAR4dH8kwsLC6"
"The Spectre","Alan Walker","The Spectre","epic shit","Playlist","NOG841713010","2DGa7iaidT5s0qnINlwMjJ"
"Spectre","Alan Walker","Origins","epic shit","Playlist","NOG842211010","2kY1bCxkRIPz3qDgKAbQM6"
"The Calling","TheFatRat","The Calling","epic shit","Playlist","QM4DW1615998","2k1bFfcPIRTMeCGO48F0OE"
"Jackpot","TheFatRat","Jackpot","epic shit","Playlist","SEUM71601782","3msQJEmoSGNJGvyDCMMafB"
"Unity","TheFatRat","Unity","epic shit","Playlist","TCACE1531588","4QLjLmiBMEprh7NaGUWxl9"
"Demons","Imagine Dragons","Night Visions","epic shit","Playlist","USUM71201071","5qaEfEh1AtSdrdrByCP7qR"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","Enemy (with JID) [from the series Arcane League of Legends]","epic shit","Playlist","USUM72119916","1r9xUipOqoNwggBpENDsvJ"
"Bones","Imagine Dragons","Mercury - Acts 1 & 2","epic shit","Playlist","USUM72201759","54ipXppHLA8U4yqpOFTUhr"
"Natural","Imagine Dragons","Origins (Deluxe)","epic shit","Playlist","USUM71806694","2FY7b99s15jUprqC0M5NCT"
"On Top Of The World","Imagine Dragons","Night Visions","epic shit","Playlist","USUM71201073","213x4gsFDm04hSqIUkg88w"
"Waiting For Love","Avicii","Stories","epic shit","Playlist","CHB701400134","2P4OICZRVAQcYAV2JReRfj"
"Payphone","Maroon 5","Overexposed Track By Track","epic shit","Playlist","USUM71203347","1XGmzt0PVuFgQYYnV2It7A"
"Sweet but Psycho","Ava Max","Heaven & Hell","epic shit","Playlist","USAT21802011","7DnAm9FOTWE3cUvso43HhI"
"Cake By The Ocean","DNCE","DNCE","epic shit","Playlist","USUM71514637","76hfruVvmfQbw0eYn1nmeC"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta","Listen","epic shit","Playlist","GB28K1400058","285HeuLxsngjFn4GGegGNm"
"Dusk Till Dawn (feat. Sia) - Radio Edit","ZAYN","Icarus Falls","epic shit","Playlist","USRC11702155","3e7sxremeOE3wTySiOhGiP"
"Solo (feat. Demi Lovato)","Clean Bandit","What Is Love? (Deluxe Edition)","epic shit","Playlist","GBAHS1800328","3NuK5xMlSlB6K2Qp16zf3h"
"A Sky Full of Stars","Coldplay","Ghost Stories","epic shit","Playlist","GBAYE1400217","0FDzzruyVECATHXKHFs9eJ"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5","Hands All Over (Revised International Standard version)","epic shit","Playlist","USUM71109132","7pYfyrMNPn3wtoCyqcTVoI"
"Animals","Maroon 5","V","epic shit","Playlist","USUM71409576","2bL2gyO6kBdLkNSkxXNh6x"
"One More Night","Maroon 5","Overexposed Track By Track","epic shit","Playlist","USUM71203514","6cpk00i5TxCqSeqNi2HuIe"
"Alone","Alan Walker","Different World","epic shit","Playlist","NOG841617010","3LlmKSHR3Rs0Y3KHQLAYDk"
"Let Me Love You","DJ Snake","Encore","epic shit","Playlist","QMZSY1600015","0lYBSQXN6rCTvUZvg9S0lU"
"I Knew You Were Trouble.","Taylor Swift","Red (Big Machine Radio Release Special)","epic shit","Playlist","USCJY1231039","6FB3v4YcR57y4tXFcdxI1E"
"Chandelier","Sia","1000 Forms Of Fear","epic shit","Playlist","USRC11400498","4VrWlk8IQxevMvERoX08iC"
"Can't Hold Us (feat. Ray Dalton)","Macklemore","The Heist","epic shit","Playlist","GMM881200002","22skzmqfdWrjJylampe0kt"
"What Makes You Beautiful","One Direction","Up All Night","epic shit","Playlist","GBHMU1100018","4cluDES4hQEUhmXj6TXkSo"
